date,nyse_advancers,nyse_decliners,nyse_ad,nyse_ad_cum,nyse_ad_cum_trend,nyse_mcclellan,nyse_mcclellan_trend,nyse_pct_above_20d,nyse_pct_above_50d,nyse_pct_above_200d,nyse_common_advancers,nyse_common_decliners,nyse_common_ad,nyse_common_ad_cum,nyse_common_ad_cum_trend,nyse_common_mcclellan,nyse_common_mcclellan_trend,nyse_common_pct_above_20d,nyse_common_pct_above_50d,nyse_common_pct_above_200d,nasdaq_advancers,nasdaq_decliners,nasdaq_ad,nasdaq_ad_cum,nasdaq_ad_cum_trend,nasdaq_mcclellan,nasdaq_mcclellan_trend,nasdaq_pct_above_20d,nasdaq_pct_above_50d,nasdaq_pct_above_200d,sp500_advancers,sp500_decliners,sp500_ad,sp500_ad_cum,sp500_ad_cum_trend,sp500_mcclellan,sp500_mcclellan_trend,sp500_pct_above_20d,sp500_pct_above_50d,sp500_pct_above_200d,sp400_advancers,sp400_decliners,sp400_ad,sp400_ad_cum,sp400_ad_cum_trend,sp400_mcclellan,sp400_mcclellan_trend,sp400_pct_above_20d,sp400_pct_above_50d,sp400_pct_above_200d,sp600_advancers,sp600_decliners,sp600_ad,sp600_ad_cum,sp600_ad_cum_trend,sp600_mcclellan,sp600_mcclellan_trend,sp600_pct_above_20d,sp600_pct_above_50d,sp600_pct_above_200d,broad_pct_above_20d,broad_pct_above_50d,broad_pct_above_200d
2023-07-06,221,1353,-1132.0,196.0,flat,-17.42191898828817,flat,0.0,0.0,0.0,181,1010,-829.0,240.0,flat,-13.619109587132556,flat,0.0,0.0,0.0,469,1715,-1246.0,-2198.0,falling,-63.21441000745753,falling,0.0,0.0,0.0,81,414,-333.0,309.0,flat,1.9333735638718714,flat,0.0,0.0,0.0,69,324,-255.0,110.0,flat,-3.6098529820178182,flat,0.0,0.0,0.0,79,502,-423.0,-299.0,flat,-15.558470628348676,flat,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-07,1139,425,714.0,910.0,rising,19.92938905740074,flat,0.0,0.0,0.0,846,335,511.0,751.0,rising,13.105784388570068,flat,0.0,0.0,0.0,1479,687,792.0,-1406.0,falling,-12.897005425804174,flat,0.0,0.0,0.0,249,248,1.0,310.0,rising,1.2427976470767774,flat,0.0,0.0,0.0,307,87,220.0,330.0,rising,7.619943110968073,flat,0.0,0.0,0.0,431,150,281.0,-18.0,rising,0.7460260352637587,flat,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-10,1109,460,649.0,1559.0,rising,48.51511049117775,rising,0.0,0.0,0.0,868,318,550.0,1301.0,rising,37.840039815852975,rising,0.0,0.0,0.0,1471,690,781.0,-625.0,rising,29.638860518638488,rising,0.0,0.0,0.0,366,131,235.0,545.0,rising,12.346141249981592,flat,0.0,0.0,0.0,325,67,258.0,588.0,rising,19.083319054916167,flat,0.0,0.0,0.0,457,123,334.0,316.0,rising,17.33264055247607,flat,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-11,1272,295,977.0,2536.0,rising,89.11332676460123,rising,0.0,0.0,0.0,953,231,722.0,2023.0,rising,67.39862800710058,rising,0.0,0.0,0.0,1368,801,567.0,-58.0,rising,55.15883159854377,rising,0.0,0.0,0.0,411,85,326.0,871.0,rising,26.327769324215296,rising,0.0,0.0,0.0,328,65,263.0,851.0,rising,29.039088891717206,rising,0.0,0.0,0.0,458,124,334.0,650.0,rising,31.427532761930223,rising,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-12,1118,441,677.0,3213.0,rising,108.37923504455529,rising,0.0,0.0,0.0,836,344,492.0,2515.0,rising,80.8342277705818,rising,0.0,0.0,0.0,1422,743,679.0,621.0,rising,82.30261271387006,rising,0.0,0.0,0.0,324,174,150.0,1021.0,rising,29.350422481064044,rising,0.0,0.0,0.0,283,109,174.0,1025.0,rising,32.956076657723514,rising,0.0,0.0,0.0,444,136,308.0,958.0,rising,42.02152793720387,rising,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-13,1119,442,677.0,3890.0,rising,124.3096904486932,rising,0.0,0.0,0.0,809,372,437.0,2952.0,rising,89.1674944295053,rising,0.0,0.0,0.0,1405,761,644.0,1265.0,rising,103.3490325039047,rising,0.0,0.0,0.0,353,141,212.0,1233.0,rising,34.888038817764404,rising,0.0,0.0,0.0,281,112,169.0,1194.0,rising,35.89032081437029,rising,0.0,0.0,0.0,411,168,243.0,1201.0,rising,47.619286172376825,rising,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-14,394,1177,-783.0,3107.0,rising,64.30868136698768,rising,0.0,0.0,0.0,305,880,-575.0,2377.0,rising,45.24659995073738,rising,0.0,0.0,0.0,629,1546,-917.0,348.0,rising,42.776976261864796,rising,0.0,0.0,0.0,178,318,-140.0,1093.0,rising,21.848260591554386,flat,0.0,0.0,0.0,84,307,-223.0,971.0,rising,18.619647964231433,flat,0.0,0.0,0.0,177,405,-228.0,973.0,rising,28.617273032587818,rising,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-17,962,591,371.0,3478.0,rising,70.3862751952945,rising,0.0,0.0,0.0,744,433,311.0,2688.0,rising,51.76800217163712,rising,0.0,0.0,0.0,1420,744,676.0,1024.0,rising,70.42398329361134,rising,0.0,0.0,0.0,278,217,61.0,1154.0,rising,20.640008905187052,flat,0.0,0.0,0.0,262,126,136.0,1107.0,rising,21.710124437541552,flat,0.0,0.0,0.0,393,187,206.0,1179.0,rising,33.927465432905265,rising,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-18,1173,388,785.0,4263.0,rising,95.93068654252039,rising,81.98367859384808,0.0,0.0,905,275,630.0,3318.0,rising,73.03496105964823,rising,81.71238570241064,0.0,0.0,1376,801,575.0,1599.0,rising,88.66005438928659,rising,68.45549738219894,0.0,0.0,318,176,142.0,1296.0,rising,23.553753668817045,flat,78.91566265060241,0.0,0.0,298,95,203.0,1310.0,rising,27.593931200034007,rising,87.81725888324873,0.0,0.0,458,123,335.0,1514.0,rising,44.74804260801217,rising,83.10580204778158,0.0,0.0,74.10490639005992,0.0,0.0
2023-07-19,976,579,397.0,4660.0,rising,97.8915048116859,rising,83.2391713747646,0.0,0.0,734,442,292.0,3610.0,rising,73.95303610359952,rising,83.1255195344971,0.0,0.0,1216,971,245.0,1844.0,rising,87.3085949041425,rising,68.86175316179677,0.0,0.0,317,178,139.0,1435.0,rising,25.777236673376606,rising,83.33333333333334,0.0,0.0,240,150,90.0,1400.0,rising,26.836616325964876,rising,89.08629441624365,0.0,0.0,389,192,197.0,1711.0,rising,46.875895879688514,rising,84.98293515358361,0.0,0.0,74.83633502207603,0.0,0.0
