date,spx,bb_mid,bb_upper,bb_lower,bb_dist_upper_pct,bb_dist_lower_pct,vix,vix1d,vix9d,vvix,shortvol,vx_m1,vx_m2,vx_contango_pct,pc_equity_raw,pc_index_raw,pc_equity_10d,pc_index_10d
2010-01-04,1132.989990234375,,,,,,20.040000915527344,,,73.30000305175781,59.86000061035156,,,,0.52,1.07,,
2010-01-05,1136.52001953125,,,,,,19.350000381469727,,,70.36000061035156,61.11000061035156,,,,0.56,1.09,,
2010-01-06,1137.1400146484375,,,,,,19.15999984741211,,,67.6500015258789,62.66999816894531,,,,0.52,1.13,0.5333333333333333,1.0966666666666667
2010-01-07,1141.68994140625,,,,,,19.059999465942383,,,67.1500015258789,64.25,,,,0.5,1.33,0.525,1.155
2010-01-08,1144.97998046875,,,,,,18.1299991607666,,,65.70999908447266,66.08999633789062,,,,0.49,0.98,0.518,1.1199999999999999
2010-01-11,1146.97998046875,,,,,,17.549999237060547,,,64.87000274658203,67.20999908447266,,,,0.49,1.06,0.5133333333333333,1.11
2010-01-12,1136.219970703125,,,,,,18.25,,,70.41999816894531,64.6500015258789,,,,0.58,1.26,0.5228571428571429,1.1314285714285715
2010-01-13,1145.6800537109375,,,,,,17.850000381469727,,,75.52999877929688,66.55000305175781,,,,0.57,1.15,0.52875,1.13375
2010-01-14,1148.4599609375,,,,,,17.6299991607666,,,74.5199966430664,67.7699966430664,,,,0.53,1.2,0.5288888888888889,1.141111111111111
2010-01-15,1136.030029296875,,,,,,17.90999984741211,,,74.2699966430664,66.02999877929688,,,,0.6,1.31,0.536,1.158
2010-01-19,1150.22998046875,,,,,,17.579999923706055,,,73.5,69.76000213623047,,,,0.56,0.95,0.5399999999999999,1.146
2010-01-20,1138.0400390625,,,,,,18.68000030517578,,,80.36000061035156,69.47000122070312,,,,0.66,1.51,0.55,1.188
2010-01-21,1116.47998046875,,,,,,22.270000457763672,,,88.81999969482422,65.68000030517578,,,,0.7,1.17,0.5680000000000001,1.1920000000000002
2010-01-22,1091.760009765625,,,,,,27.309999465942383,,,100.05999755859375,59.38999938964844,,,,0.75,1.14,0.593,1.1729999999999998
2010-01-25,1096.780029296875,,,,,,25.40999984741211,,,90.58000183105469,60.47999954223633,,,,0.64,1.62,0.608,1.237
2010-01-26,1092.1700439453125,,,,,,24.549999237060547,,,90.04000091552734,60.189998626708984,,,,0.65,1.11,0.624,1.242
2010-01-27,1097.5,,,,,,23.139999389648438,,,85.86000061035156,61.189998626708984,,,,0.69,1.27,0.635,1.2429999999999999
2010-01-28,1084.530029296875,,,,,,23.729999542236328,,,87.91000366210938,61.22999954223633,,,,0.65,1.06,0.643,1.234
2010-01-29,1073.8699951171875,,,,,,24.6200008392334,,,89.0,60.22999954223633,,,,0.73,1.49,0.663,1.2630000000000001
2010-02-01,1089.18994140625,1121.8619995117188,1173.5338548119573,1070.1901442114802,7.743728637156816,-1.7443970488966547,22.59000015258789,,,83.7300033569336,62.900001525878906,,,,0.58,0.82,0.6609999999999999,1.214
2010-02-02,1103.3199462890625,1120.3784973144532,1172.4075741609206,1068.3494204679857,6.261794514295639,-3.1695725196211324,21.479999542236328,,,80.9800033569336,65.4800033569336,,,,0.58,1.39,0.663,1.258
2010-02-03,1097.280029296875,1118.4164978027343,1170.8406176466788,1065.9923779587898,6.70390295874979,-2.8513825552930165,21.600000381469727,,,80.55000305175781,65.16999816894531,,,,0.64,1.16,0.6609999999999999,1.223
2010-02-04,1063.1099853515625,1114.7149963378906,1171.818019755429,1057.6119729203522,10.225473930424766,-0.5171630882003404,26.079999923706055,,,91.41999816894531,57.97999954223633,,,,0.79,1.44,0.6699999999999999,1.2499999999999998
2010-02-05,1066.18994140625,1110.9399963378905,1170.4655032827316,1051.4144893930495,9.780204992268771,-1.3858179897769836,26.110000610351562,,,88.22000122070312,56.90999984741211,,,,0.79,1.65,0.674,1.301
2010-02-08,1056.739990234375,1106.5279968261718,1168.4621107811693,1044.5938828711744,10.572337715923416,-1.1493941248979047,26.510000228881836,,,90.01000213623047,56.36000061035156,,,,0.73,1.35,0.683,1.2739999999999998
2010-02-09,1070.52001953125,1102.7049987792968,1163.5553223195507,1041.854675239043,8.690664451939737,-2.677702777081996,26.0,,,88.80000305175781,57.970001220703125,,,,0.71,0.99,0.689,1.262
2010-02-10,1068.1300048828125,1099.3005004882812,1159.8740462055953,1038.726954770967,8.589220497822105,-2.7527594934542963,25.399999618530273,,,92.18000030517578,57.869998931884766,,,,0.64,1.34,0.6839999999999999,1.269
2010-02-11,1078.469970703125,1095.9399963378905,1153.0372759205136,1038.8427167552675,6.914175382071446,-3.674395673902903,23.959999084472656,,,89.58999633789062,59.56999969482422,,,,0.74,0.98,0.693,1.261
2010-02-12,1075.510009765625,1092.292498779297,1144.3621378686366,1040.2228596899572,6.401811929022946,-3.28096900589122,22.729999542236328,,,88.16000366210938,59.22999954223633,,,,0.64,1.29,0.6839999999999999,1.241
2010-02-16,1094.8699951171875,1090.2344970703125,1138.1101896977805,1042.3588044428445,3.949345107038469,-4.796111950142768,22.25,,,81.7699966430664,62.540000915527344,,,,0.63,1.23,0.6890000000000001,1.2819999999999998
2010-02-17,1099.510009765625,1087.6984985351562,1126.7540340894395,1048.6429629808729,2.4778332240578647,-4.626337762545254,21.719999313354492,,,80.29000091552734,64.02999877929688,,,,0.61,1.2,0.692,1.2630000000000001
2010-02-18,1106.75,1086.1339965820312,1118.6595371567648,1053.6084560072975,1.0760819658246963,-4.801585181179354,20.6299991607666,,,79.19999694824219,66.83999633789062,,,,0.67,0.91,0.695,1.238
2010-02-19,1109.1700439453125,1085.7684997558595,1116.9966423685905,1054.5403571431284,0.7056265597868885,-4.925276074700554,20.020000457763672,,,77.97000122070312,68.37000274658203,,,,0.66,0.95,0.682,1.189
2010-02-22,1108.010009765625,1086.5809997558595,1119.2766253533784,1053.8853741583405,1.0168333759129713,-4.884850780250026,19.940000534057617,,,75.44000244140625,69.2699966430664,,,,0.63,1.18,0.6659999999999999,1.142
2010-02-23,1094.5999755859375,1086.4719970703125,1119.0387376788024,1053.9052564618225,2.232666054992632,-3.7177708781083374,21.3700008392334,,,77.81999969482422,67.52999877929688,,,,0.78,1.33,0.671,1.1400000000000001
2010-02-24,1105.239990234375,1087.1254943847657,1120.6831226657262,1053.5678661038053,1.3972650797838322,-4.675194942920246,20.270000457763672,,,75.93000030517578,69.05000305175781,,,,0.67,1.07,0.667,1.1480000000000001
